name,opening_date,opening_gross,opening_theaters,studio,theaters,total_gross,url
Elizabeth Blue,9/22/2017,"$2,746",10,Global Digit,10,"$3,674",/movies/?id=elizabethblue.htm
Elizabeth: The Golden Age,10/12/2007,"$6,153,075","2,001",Uni.,"2,006","$16,383,509",/movies/?id=goldenage.htm
Elizabethtown,10/14/2005,"$10,618,711","2,517",Par.,"2,517","$26,850,426",/movies/?id=elizabethtown.htm
Elizabeth ,11/6/1998,"$275,131",9,Gram.,624,"$30,082,699",/movies/?id=elizabeth .htm
Ella Enchanted,4/9/2004,"$6,169,030","1,931",Mira.,"2,149","$22,918,387",/movies/?id=ellaenchanted.htm
Elle,11/11/2016,"$50,934",2,SPC,209,"$2,341,534",/movies/?id=elle.htm
Elles,4/27/2012,"$24,286",6,KL,13,"$157,508",/movies/?id=elles.htm
Elles etaient cinq,8/27/2004,n/a,n/a,All.,45,"$1,852,272",/movies/?id=ellesetaientcinq.htm
Ellie Parker,11/11/2005,"$10,299",6,Strand,6,"$34,410",/movies/?id=ellieparker.htm
Elling,5/29/2002,"$9,606",2,First,19,"$314,729",/movies/?id=elling.htm
Eloise,2/3/2017,n/a,n/a,VE,n/a,n/a,/movies/?id=eloise.htm
Elsa & Fred,6/27/2008,"$10,246",2,Mitro.,15,"$189,024",/movies/?id=elsaandfred.htm
Elsa & Fred (2014),11/7/2014,"$65,275",34,MNE,34,"$285,863",/movies/?id=elsaandfred2014.htm
Elstree 1976,5/6/2016,"$3,270",14,FR,14,"$12,173",/movies/?id=elstree1976.htm
"Elvira, Mistress of the Dark",9/30/1988,"$1,660,041",627,NW,627,"$5,596,267",/movies/?id=elviramistressofthedark.htm
Elvis & Nixon,4/22/2016,"$466,447",381,BST,381,"$1,055,287",/movies/?id=elvisnixon.htm
Elvis Gratton 2,7/2/1999,"$470,089",91,Lions,91,"$3,316,272",/movies/?id=elvisgratton2.htm
Elvis Gratton XXX,6/23/2004,"$551,432",99,Chri.,99,"$1,838,920",/movies/?id=elvisgratton3.htm
Elvis On Tour 75th Anniversary,7/29/2010,n/a,n/a,WB,n/a,"$587,818",/movies/?id=elvis2011.htm
Elvis: That's the Way It Is,11/11/1970,n/a,n/a,MGM,n/a,n/a,/movies/?id=elvisthatsthewayitis.htm
Elysium,8/9/2013,"$29,807,393","3,284",TriS,"3,284","$93,050,117",/movies/?id=elysium.htm
The Embalmer,7/18/2003,"$10,313",2,FRun,2,"$56,878",/movies/?id=embalmer.htm
Embrace of the Serpent,2/17/2016,"$50,955",3,Osci.,93,"$1,329,249",/movies/?id=embraceoftheserpent.htm
Embrace: The Documentary,9/19/2016,n/a,n/a,Gathr,77,"$610,306",/movies/?id=embrace.htm
Emerald Cowboy,9/19/2003,"$9,708",4,Indic.,6,"$101,358",/movies/?id=emeraldcowboy.htm
The Emerald Forest,7/5/1985,"$4,345,150","1,110",Emb,"1,110","$24,468,550",/movies/?id=emeraldforest.htm
Emile,2/4/2005,"$1,529",1,Castle,1,"$5,799",/movies/?id=emile.htm
Emily (2017),1/27/2017,"$1,164",1,Hiber,2,"$3,642",/movies/?id=emily2017.htm
Emma,8/2/1996,"$240,649",9,Mira.,848,"$22,231,658",/movies/?id=emma.htm
Emma Smith: My Story,4/11/2008,"$94,959",41,CMG,42,"$881,787",/movies/?id=emmasmith.htm
Emmanuel's Gift,10/21/2005,"$14,642",6,First,6,"$23,728",/movies/?id=emmanuelsgift.htm
The Emoji Movie,7/28/2017,"$24,531,923","4,075",Sony,"4,075","$84,912,232",/movies/?id=theemojimovie.htm
Empathy,1/21/2004,"$11,975",1,Icar.,1,"$29,345",/movies/?id=empathy.htm
Emperor,3/8/2013,"$1,014,099",260,RAtt.,311,"$3,346,265",/movies/?id=emperor.htm
The Emperor and the Assassin,12/15/1999,"$47,295",7,SPC,37,"$1,267,239",/movies/?id=emperorandtheassassin.htm
The Emperor's Club,11/22/2002,"$3,846,780",809,Uni.,811,"$14,118,751",/movies/?id=emperorsclub.htm
The Emperor's New Clothes,6/14/2002,"$7,474",2,ParC,41,"$661,903",/movies/?id=emperorsnewclothes.htm
The Emperor's New Groove,12/15/2000,"$9,812,302","2,801",BV,"2,887","$89,302,687",/movies/?id=emperorsnewgroove.htm
Empire,12/6/2002,"$6,281,415",867,Uni.,869,"$17,600,423",/movies/?id=empire.htm
The Empire in Africa ,12/8/2006,"$1,088",3,CLS,3,"$1,088",/movies/?id=empireinafrica.htm
Empire of Lust,3/6/2015,"$2,230",1,CJ,1,"$10,654",/movies/?id=empireoflust.htm
Empire of Silver,6/2/2011,n/a,17,NeoC,17,n/a,/movies/?id=empireofsilver.htm
Empire of the Sun,12/11/1987,"$1,314,509",225,WB,673,"$22,238,696",/movies/?id=empireofthesun.htm
Empire Records,9/22/1995,"$150,800",87,WB,87,"$273,188",/movies/?id=empirerecords.htm
The Empire Strikes Back,5/21/1980,"$4,910,483",126,Fox,"1,278","$209,398,025*",/movies/?id=starwars5.htm
The Empire Strikes Back (Re-issue),11/19/1982,"$3,949,478",992,Fox,"1,006","$13,276,241*",/movies/?id=starwars582.htm
The Empire Strikes Back (Special Edition),2/21/1997,"$21,975,993","2,111",Fox,"2,322","$67,597,694*",/movies/?id=starwars5se.htm
Employee of the Month,10/6/2006,"$11,407,751","2,579",LGF,"2,579","$28,444,855",/movies/?id=employeeofthemonth.htm
Empty Hours,7/11/2014,"$1,366",1,Strand,3,"$8,244",/movies/?id=emptyhours.htm
The Empty Mirror,5/7/1999,"$4,688",4,Lions,4,"$4,688",/movies/?id=emptymirror.htm
Emptying the Skies,4/22/2015,"$4,818",2,MBox,2,"$11,811",/movies/?id=emptyingtheskies.htm
Enchanted,11/21/2007,"$34,440,317","3,730",BV,"3,730","$127,807,262",/movies/?id=enchanted.htm
Enchanted April,7/31/1992,"$73,041",5,Mira.,324,"$13,200,170",/movies/?id=enchantedapril.htm
Encino Man,5/22/1992,"$9,866,120","2,050",BV,"2,090","$40,693,477",/movies/?id=encinoman.htm
Encounter in the 3rd Dimension (IMAX),2/26/1999,"$21,653",3,NWav,16,"$7,195,792",/movies/?id=encourter3dimax.htm
Encounters at the End of the World,6/11/2008,"$17,730",1,Think,39,"$944,933",/movies/?id=encountersattheendoftheworld.htm
The End,5/10/1978,n/a,n/a,UA,n/a,"$44,917,151",/movies/?id=theend.htm
End of Days,11/24/1999,"$20,523,595","2,593",Uni.,"2,652","$66,889,043",/movies/?id=endofdays.htm
The End of Love,3/1/2013,"$1,955",2,Vari.,3,"$9,342",/movies/?id=endoflove.htm
The End of Poverty?,11/13/2009,"$12,593",1,CLS,5,"$57,805",/movies/?id=endofpoverty.htm
The End of the Affair,12/3/1999,"$198,535",7,Sony,688,"$10,827,816",/movies/?id=endoftheaffair.htm
End of the Century: The Story of the Ramones,8/20/2004,"$18,422",1,Magn.,10,"$391,950",/movies/?id=endofthecentury.htm
End of the Line,8/28/1987,"$25,000",42,OrionC,42,"$25,000",/movies/?id=endoftheline.htm
End of the Spear,1/20/2006,"$4,281,388","1,163",RM,"1,163","$11,967,000",/movies/?id=endofthespear.htm
The End of the Tour,7/31/2015,"$123,238",4,A24,355,"$3,002,884",/movies/?id=endofthetour.htm
The End of Time,11/29/2013,"$1,468",1,FRun,1,"$4,375",/movies/?id=endoftime.htm
The End of Violence,9/12/1997,n/a,n/a,MGM,n/a,"$386,673",/movies/?id=endofviolence.htm
End of Watch,9/21/2012,"$13,152,683","2,730",ORF,"2,780","$41,003,371",/movies/?id=endofwatch.htm
Endangered Species,9/10/1982,n/a,n/a,MGM,n/a,"$1,474,249",/movies/?id=endangeredspecies.htm
Ender's Game,11/1/2013,"$27,017,351","3,407",LG/S,"3,407","$61,737,191",/movies/?id=endersgame.htm
Endgame,11/6/2009,"$1,608",14,Mont.,14,"$9,645",/movies/?id=endgame09.htm
Endless Love,7/17/1981,"$4,163,623",574,Uni.,n/a,"$31,184,024",/movies/?id=endlesslove.htm
Endless Love (2014),2/14/2014,"$13,307,125","2,896",Uni.,"2,896","$23,438,250",/movies/?id=endlesslove14.htm
Endless Poetry,7/14/2017,"$28,591",2,Abk.,18,"$153,440",/movies/?id=endlesspoetry.htm
The Endless Summer (2014 re-release),7/23/2014,n/a,n/a,Mont.,32,"$10,233",/movies/?id=endlesssummer.htm
The Endless Summer II,6/3/1994,"$657,292",302,NL,302,"$2,155,385",/movies/?id=endlesssummer2.htm
Endless Winter,10/20/1995,n/a,n/a,WM,n/a,"$1,966,454",/movies/?id=endlesswinter.htm
Endurance,5/14/1999,"$14,339",4,BV,20,"$137,124",/movies/?id=endurance.htm
The Endurance: Shackleton's Antarctic Adventure,10/5/2001,"$18,931",3,Cow.,40,"$2,453,083",/movies/?id=enduranceshackletons.htm
Enduring Love,10/29/2004,"$34,610",5,ParC,56,"$358,362",/movies/?id=enduringlove.htm
Enemies of Laughter,8/1/2003,"$2,000",1,Outr.,1,"$2,000",/movies/?id=enemiesoflaughter.htm
Enemies of the People,7/30/2010,"$2,277",1,ICir,6,"$73,171",/movies/?id=enemiesofthepeople.htm
"Enemies, A Love Story",12/15/1989,"$63,636",3,Fox,75,"$7,754,571",/movies/?id=enemiesalovestory.htm
Enemy,3/14/2014,"$16,161",1,A24,120,"$1,008,726",/movies/?id=enemy.htm
Enemy at the Gates,3/16/2001,"$13,810,266","1,509",Par.,"1,724","$51,401,758",/movies/?id=enemyatthegates.htm
Enemy Mine,12/20/1985,"$1,594,702",703,Fox,713,"$12,303,411",/movies/?id=enemymine.htm
Enemy of the State,11/20/1998,"$20,038,573","2,393",BV,"2,517","$111,549,836",/movies/?id=enemyofthestate.htm
The Enforcer,12/22/1976,n/a,n/a,WB,n/a,"$46,236,000",/movies/?id=enforcer.htm
The English Patient,11/15/1996,"$278,439",10,Mira.,"1,409","$78,676,425",/movies/?id=englishpatient.htm
The English Teacher,5/17/2013,"$6,001",2,Cdgm.,7,"$104,810",/movies/?id=englishteacher.htm
English Vinglish,10/5/2012,"$745,414",88,Eros,88,"$1,862,086",/movies/?id=englishvinglish.htm
The Englishman Who Went Up a Hill But Came Down a Mountain,5/12/1995,"$2,811,355",954,Mira.,961,"$10,904,930",/movies/?id=englishmanwhowentupahillbutcamedownamountain.htm
Enigma,4/19/2002,"$156,587",25,Manh,115,"$4,301,582",/movies/?id=enigma02.htm
Enigma (1983),1983,n/a,n/a,Emb,n/a,"$893,967",/movies/?id=enigma83.htm
Enlighten Up!,9/12/2008,"$11,799",1,Bal.,12,"$246,649",/movies/?id=enlightenup.htm
Enough,5/24/2002,"$14,009,653","2,623",Sony,"2,623","$40,007,742",/movies/?id=enough.htm
Enough Said,9/18/2013,"$232,800",4,FoxS,835,"$17,550,872",/movies/?id=enoughsaid.htm
Enron: The Smartest Guys in the Room,4/22/2005,"$76,639",3,Magn.,151,"$4,071,700",/movies/?id=enron.htm
Enter the Dangerous Mind,2/6/2015,n/a,n/a,Vari.,n/a,n/a,/movies/?id=enterthedangerousmind.htm
Enter the Dragon,8/17/1973,n/a,n/a,WB,n/a,n/a,/movies/?id=enterthedragon.htm
Enter the Ninja,10/23/1981,n/a,n/a,Can.,n/a,n/a,/movies/?id=entertheninja.htm
Enter the Void,9/24/2010,"$43,651",3,IFC,13,"$336,467",/movies/?id=enterthevoid.htm
Entertainment,11/13/2015,"$5,132",2,Magn.,9,"$55,506",/movies/?id=entertainment.htm
The Entity,2/4/1983,"$3,685,654","1,031",Fox,"1,035","$13,277,558",/movies/?id=entity.htm
Entourage,6/3/2015,"$10,283,250","3,108",WB,"3,108","$32,363,404",/movies/?id=entourage.htm
Entrapment,4/30/1999,"$20,145,595","2,814",Fox,"2,879","$87,704,396",/movies/?id=entrapment.htm
Entre Nous,1/25/1984,n/a,n/a,MGM,n/a,"$3,974,975",/movies/?id=entrenous.htm
Envy,4/30/2004,"$6,160,886","2,445",DW,"2,445","$13,562,325",/movies/?id=envy.htm
Epic,5/24/2013,"$33,531,068","3,882",Fox,"3,894","$107,518,682",/movies/?id=leafmen.htm
Epic Movie,1/26/2007,"$18,612,544","2,801",Fox,"2,840","$39,739,367",/movies/?id=epicmovie.htm
The Equalizer,9/26/2014,"$34,137,828","3,236",Sony,"3,236","$101,530,738",/movies/?id=equalizer.htm
The Equalizer 2,8/3/2018,n/a,n/a,Sony,n/a,n/a,/movies/?id=theequalizer2.htm
Equals,7/15/2016,"$9,206",2,A24,92,"$33,258",/movies/?id=equals.htm
Equilibrium,12/6/2002,"$541,512",301,Dim.,301,"$1,203,794",/movies/?id=equilibrium.htm
Equinox,6/11/1993,"$6,310",1,IRS,8,"$279,627",/movies/?id=equinox.htm
Equity,7/29/2016,"$82,434",4,SPC,255,"$1,605,463",/movies/?id=equity.htm
Eragon,12/15/2006,"$23,239,907","3,020",Fox,"3,030","$75,030,163",/movies/?id=eragon.htm
Erased,5/17/2013,n/a,51,RTWC,51,n/a,/movies/?id=erased.htm
Eraser,6/21/1996,"$24,566,446","2,410",WB,"2,556","$101,295,562",/movies/?id=eraser.htm
Erik the Viking,9/22/1989,"$68,543",22,Orion,269,"$1,932,642",/movies/?id=eriktheviking.htm
Erin Brockovich,3/17/2000,"$28,138,465","2,848",Uni.,"3,070","$125,595,205",/movies/?id=erinbrockovich.htm
Ernest & Celestine,2/28/2014,"$13,078",1,GK,39,"$262,075",/movies/?id=ernestandcelestine.htm
Ernest Goes to Camp,5/22/1987,"$6,171,957","1,541",BV,"1,541","$23,509,382",/movies/?id=ernestgoestocamp.htm
Ernest Goes to Jail,4/6/1990,"$6,143,372","1,943",BV,"1,956","$25,029,569",/movies/?id=ernestgoestojail.htm
Ernest Rides Again,11/12/1993,"$905,010","1,190",EPG,"1,190","$1,450,029",/movies/?id=ernestridesagain.htm
Ernest Saves Christmas,11/11/1988,"$5,710,734","1,634",BV,"1,640","$28,202,109",/movies/?id=ernestsaveschristmas.htm
Ernest Scared Stupid,10/11/1991,"$4,453,132","1,782",BV,"1,787","$14,143,280",/movies/?id=ernestscaredstupid.htm
Eros,4/8/2005,"$53,666",12,WIP,16,"$188,392",/movies/?id=eros.htm
Escaflowne: The Movie,1/25/2002,"$16,692",5,Band.,5,"$94,060",/movies/?id=escaflowne.htm
Escanaba in 'da Moonlight,1/26/2001,"$324,946",31,Purple,48,"$2,276,602",/movies/?id=escanabaindamoonlight.htm
Escape 2000,1984,n/a,n/a,NW,n/a,"$1,414,828",/movies/?id=escape2000.htm
The Escape Artist,5/28/1982,"$23,323",2,WB,2,"$143,369",/movies/?id=escapeartist.htm
Escape Fire,10/5/2012,"$30,953",12,RAtt.,12,"$126,238",/movies/?id=escapefire.htm
Escape from Alcatraz,6/22/1979,"$5,306,354",815,Par.,n/a,"$43,000,000",/movies/?id=escapefromalcatraz.htm
Escape From L.A.,8/9/1996,"$8,912,557","2,312",Par.,"2,312","$25,477,365",/movies/?id=escapefromla.htm
Escape from New York,7/10/1981,n/a,n/a,Emb,n/a,"$25,244,626",/movies/?id=escapefromnewyork.htm
Escape From Planet Earth,2/15/2013,"$15,891,055","3,288",Wein.,"3,353","$57,012,977",/movies/?id=escapefromplanetearth.htm
Escape from the Planet of the Apes,5/21/1971,n/a,n/a,Fox,n/a,"$12,348,905",/movies/?id=escapefromtheplanetoftheapes.htm
Escape from Tomorrow,10/11/2013,"$63,297",30,PDA,30,"$171,962",/movies/?id=escapefromtomorrow.htm
Escape Plan,10/18/2013,"$9,885,732","2,883",LG/S,"2,883","$25,135,965",/movies/?id=tomb.htm
Escape to Witch Mountain,3/21/1975,n/a,n/a,BV,n/a,"$20,000,000",/movies/?id=escapetowitchmountain.htm
Escapes,7/28/2017,"$1,339",1,Ghop,4,"$14,016",/movies/?id=escapes.htm
The Escapist,4/3/2009,"$3,075",1,IFC,2,"$13,439",/movies/?id=escapist.htm
Escobar: Paradise Lost,6/26/2015,"$106,869",105,RTWC,105,"$195,792",/movies/?id=paradiselost2014.htm
Esmeralda Comes by Night,9/18/1998,n/a,n/a,FL,n/a,"$15,671",/movies/?id=esmeraldacomesbynight.htm
Especially on Sunday,8/13/1993,"$51,479",5,Mira.,15,"$442,676",/movies/?id=especiallyonsunday.htm
ESPN's Ultimate X (IMAX),5/10/2002,"$613,670",47,BV,48,"$4,197,492",/movies/?id=espnsultimateximax.htm
Esther Kahn,3/1/2002,"$5,124",1,Emp.,3,"$23,371",/movies/?id=estherkahn.htm
Eternal,8/26/2005,"$4,129",1,Reg.,9,"$28,089",/movies/?id=eternal.htm
Eternal Sunshine of the Spotless Mind,3/19/2004,"$8,175,198","1,353",Focus,"1,357","$34,400,301",/movies/?id=eternalsunshine.htm
Eternity and a Day,5/28/1999,"$24,221",3,AL,3,"$107,178",/movies/?id=eternityandaday.htm
Eternity the Movie,10/17/2014,"$1,582",1,Indic.,1,"$8,350",/movies/?id=eternitythemovie.htm
Ethan Frome,3/12/1993,"$57,623",17,Mira.,27,"$296,081",/movies/?id=ethanfrome.htm
Ethan Mao,4/8/2005,"$3,356",1,Marg.,1,"$10,178",/movies/?id=ethanmao.htm
Etoiles: Dancers of the Paris Opera Ballet,11/8/2002,"$4,117",1,FRun,1,"$46,412",/movies/?id=etoiles.htm
Eulogy,10/15/2004,"$41,788",22,Lions,22,"$75,076",/movies/?id=eulogy.htm
Eureka,5/4/2001,n/a,n/a,Shoot.,n/a,"$49,388",/movies/?id=eureka01.htm
Eureka,10/5/1984,n/a,n/a,UA,n/a,"$123,572",/movies/?id=eureka.htm
Europa Report,8/2/2013,"$22,243",3,Magn.,12,"$125,687",/movies/?id=europareport.htm
"Europa, Europa",6/28/1991,"$31,433",2,OrionC,34,"$5,575,738",/movies/?id=europaeuropa.htm
European Vacation,7/26/1985,"$12,329,627","1,546",WB,"1,547","$49,364,621",/movies/?id=europeanvacation.htm
The Europeans,1979,n/a,n/a,N/A,n/a,n/a,/movies/?id=europeans.htm
Eurotrip,2/20/2004,"$6,711,384","2,512",DW,"2,544","$17,771,387",/movies/?id=eurotrip.htm
Eva,3/13/2015,"$10,395",50,Wein.,50,"$16,738",/movies/?id=eva.htm
Eva Hesse,4/27/2016,"$12,780",1,Zeit.,7,"$157,481",/movies/?id=evahesse.htm
Evan Almighty,6/22/2007,"$31,192,615","3,604",Uni.,"3,636","$100,462,298",/movies/?id=evanalmighty.htm
Evangelion 1.0 You Are (Not) Alone,7/3/2009,"$1,579",1,Elev.,6,"$107,797",/movies/?id=evangelion1.htm
Evangelion 2.0: You Can (Not) Advance,1/21/2011,"$84,157",15,Elev.,15,"$133,640",/movies/?id=evangelion2.htm
Evangelion: 3.0 You Can (Not) Redo,1/10/2014,"$110,825",82,Elev.,82,"$174,945",/movies/?id=evangelion3.htm
Eve of Destruction,1/18/1991,"$2,163,024",985,Orion,987,"$5,451,119",/movies/?id=eveofdestruction.htm
Eve's Bayou,11/7/1997,"$3,287,846",659,Trim.,672,"$14,842,388",/movies/?id=evesbayou.htm
Evelyn,12/13/2002,"$65,344",15,MGM,137,"$1,487,645",/movies/?id=evelyn.htm
Even Cowgirls Get the Blues,5/20/1994,"$676,978",533,FL,533,"$1,708,873",/movies/?id=evencowgirlsgettheblues.htm
Even Money,5/18/2007,"$22,465",6,YFG,19,"$64,458",/movies/?id=evenmoney.htm
Even the Rain,2/18/2011,"$53,730",8,Vita.,27,"$518,017",/movies/?id=eventherain.htm
Evening,6/29/2007,"$3,501,971",977,Focus,979,"$12,492,481",/movies/?id=evening.htm
The Evening Star,12/27/1996,"$3,306,445","1,265",Par.,"1,268","$12,767,815",/movies/?id=eveningstar.htm
The Event,10/3/2003,"$19,206",18,Think,18,"$35,554",/movies/?id=event.htm
Event Horizon,8/15/1997,"$9,511,915","2,311",Par.,"2,328","$26,673,242",/movies/?id=eventhorizon.htm
Ever After: A Cinderella Story,7/31/1998,"$8,526,904","1,767",Fox,"2,067","$65,705,771",/movies/?id=everafter.htm
Ever Again,12/8/2006,"$10,802",12,RM,12,"$17,304",/movies/?id=everagain.htm
Everest (2015),9/18/2015,"$7,222,035",545,Uni.,"3,009","$43,482,270",/movies/?id=everest2015.htm
Everest (2019),9/27/2019,n/a,n/a,Uni.,n/a,n/a,/movies/?id=everest2019.htm
Everest (IMAX),3/6/1998,"$364,244",10,MFF,62,"$87,178,599",/movies/?id=everestimax.htm
Evergreen,9/10/2004,n/a,113,Ever.,113,n/a,/movies/?id=evergreen.htm
Evergreen: The Road to Legalization,6/13/2014,$189,1,FRun,3,"$2,363",/movies/?id=evergreen2014.htm
Everlasting Moments,3/6/2009,"$40,443",5,IFC,30,"$610,825",/movies/?id=everlastingmoments.htm
An Everlasting Piece,12/22/2000,"$9,128",8,DW,8,"$75,228",/movies/?id=aneverlastingpiece.htm
Everly,2/27/2015,n/a,n/a,RTWC,n/a,n/a,/movies/?id=everly.htm
Every Day,1/14/2011,"$9,857",3,Imag.,4,"$46,029",/movies/?id=everyday.htm
Every Last Child,6/3/2015,n/a,1,Zeit.,1,n/a,/movies/?id=everylastchild.htm
Every Little Step,4/17/2009,"$68,504",8,SPC,70,"$1,725,141",/movies/?id=everylittlestep.htm
Every Man for Himself (2010 re-issue),11/12/2010,"$7,926",1,FDesk,2,"$47,262",/movies/?id=everymanforhimself2010.htm
Every Secret Thing,5/15/2015,"$97,020",20,SM,20,"$103,536",/movies/?id=everysecretthing.htm
Every Thing Will be Fine,12/4/2015,"$1,428",2,IFC,2,"$8,034",/movies/?id=everythingwillbefine.htm
Every Time We Say Goodbye,11/14/1986,"$118,200",63,TriS,63,"$278,623",/movies/?id=everytimewesaygoodbye.htm
Every Which Way But Loose,12/20/1978,"$10,272,294","1,275",WB,n/a,"$85,196,485",/movies/?id=everywhichwaybutloose.htm
Everybody Loves Somebody,2/17/2017,"$924,201",333,PNT,333,"$1,915,789",/movies/?id=everybodylovessomebody.htm
Everybody Says I'm Fine!,5/16/2003,"$3,860",3,Pan.,3,"$27,225",/movies/?id=everybodysaysimfine.htm
Everybody Wants Some!!,3/30/2016,"$312,355",19,Par.,454,"$3,400,278",/movies/?id=smoker.htm
Everybody Wants to Be Italian,9/5/2008,"$197,861",98,RAtt.,98,"$351,416",/movies/?id=everybodywantstobeitalian.htm
Everybody Wins,1/19/1990,"$581,979",451,Orion,451,"$1,372,350",/movies/?id=everybodywins.htm
Everybody's All-American,11/4/1988,"$3,425,796","1,122",WB,"1,123","$12,638,294",/movies/?id=everybodysall-american.htm
Everybody's Famous!,7/3/2001,"$17,104",4,Mira.,11,"$81,734",/movies/?id=everybodysfamous.htm
Everybody's Fine,12/4/2009,"$3,852,068","2,133",Mira.,"2,141","$9,208,876",/movies/?id=everybodysfine09.htm
Everybody's Fine (1991),5/31/1991,"$18,367",1,Mira.,48,"$1,745,470",/movies/?id=everybodysfine.htm
Everyone Else,4/9/2010,"$10,810",1,CGld,5,"$102,042",/movies/?id=everyoneelse.htm
Everyone Says I Love You,12/6/1996,"$131,678",3,Mira.,276,"$9,759,200",/movies/?id=everyonesaysiloveyou.htm
Everyone's Hero,9/15/2006,"$6,061,762","2,896",Fox,"2,898","$14,523,101",/movies/?id=everyoneshero.htm
Everything Is Illuminated,9/16/2005,"$66,806",6,WIP,110,"$1,712,337",/movies/?id=everythingisilluminated.htm
Everything Must Go,5/13/2011,"$791,676",218,RAtt.,245,"$2,711,643",/movies/?id=everythingmustgo.htm
Everything Put Together,11/2/2001,n/a,n/a,Vita.,n/a,"$2,963",/movies/?id=everythingputtogether.htm
"Everything You Always Wanted to Know About Sex, But Were Afraid to Ask",8/6/1972,n/a,n/a,UA,n/a,"$18,016,290",/movies/?id=everythingyoualwayswantedtoknowaboutsex.htm
Everything's Cool,11/23/2007,"$2,641",2,CityL,2,"$4,890",/movies/?id=everythingscool.htm
Everything's Gone Green,4/13/2007,"$3,426",1,FInd.,4,"$19,373",/movies/?id=everythingsgonegreen.htm
"Everything, Everything",5/19/2017,"$11,727,390","2,801",WB,"2,801","$34,121,140",/movies/?id=everythingeverything.htm
Evidence of a Haunting,8/26/2011,"$16,800",10,Noct.,10,"$29,904",/movies/?id=evidenceofahaunting.htm
Evil,3/10/2006,"$2,448",1,Magn.,4,"$15,530",/movies/?id=evil.htm
Evil Bong 3-D,4/8/2011,"$24,775",1,FMP,1,"$91,260",/movies/?id=evilbong3d.htm
The Evil Dead,1/1/1983,n/a,n/a,NL,128,"$2,400,000",/movies/?id=evildead.htm
Evil Dead (2013),4/5/2013,"$25,775,847","3,025",TriS,"3,025","$54,239,856",/movies/?id=evildead2013.htm
Evil Dead 2,3/13/1987,"$807,260",310,DEG,310,"$5,923,044",/movies/?id=evildead2.htm
Evil Intent,6/29/2013,$205,1,DWOES,2,"$10,454",/movies/?id=evilintent.htm
Evil Remains,10/22/2004,"$5,499",4,Scre.,4,"$8,747",/movies/?id=evilremains.htm
The Evil That Men Do,9/21/1984,"$4,538,400","1,464",TriS,"1,464","$13,102,025",/movies/?id=evilthatmendo.htm
Evil Under the Sun,3/5/1982,"$1,690,774",609,Uni.,609,"$6,110,000",/movies/?id=evilunderthesun.htm
Evita,12/25/1996,"$195,085",2,BV,"1,045","$50,047,179",/movies/?id=evita.htm
Evocateur: The Morton Downey Jr. Movie,6/7/2013,"$3,936",5,Magn.,5,"$31,313",/movies/?id=evocateur.htm
Evolution,11/25/2016,"$7,215",3,IFC,9,"$23,538",/movies/?id=evolution2016.htm
Evolution,6/8/2001,"$13,408,351","2,611",DW,"2,613","$38,345,494",/movies/?id=evolution.htm
Evolution of a Criminal,10/10/2014,n/a,n/a,TFC,1,"$3,568",/movies/?id=evolutionofacriminal.htm
The Ex,5/11/2007,"$1,394,229","1,009",MGM/W,"1,009","$3,093,394",/movies/?id=ex.htm
Ex Libris: The New York Public Library,9/13/2017,"$10,926",1,Zipp.,4,"$52,038",/movies/?id=exlibris.htm
Ex Machina,4/10/2015,"$237,264",4,A24,"2,004","$25,442,958",/movies/?id=exmachina.htm
Examined Life,2/25/2009,"$12,085",1,Zeit.,6,"$120,712",/movies/?id=examinedlife.htm
Excalibur,4/10/1981,"$4,519,706",692,WB,n/a,"$34,967,437",/movies/?id=excalibur.htm
Excellent Cadavers,7/12/2006,"$6,695",1,Icar.,1,"$22,300",/movies/?id=excellentcadavers.htm
The Exception,6/2/2017,"$21,351",2,A24,48,"$708,973",/movies/?id=theexception.htm
Excess Baggage,8/29/1997,"$6,309,583","2,211",Sony,"2,211","$14,515,490",/movies/?id=excessbaggage.htm
Excessive Force,5/14/1993,"$308,499",501,NL,501,"$1,152,117",/movies/?id=excessiveforce.htm
Excuse Me for Living,10/12/2012,n/a,n/a,Da.,n/a,n/a,/movies/?id=excusemeforliving.htm
Execution of Wanda Jean,9/6/2002,"$1,386",1,7Art,1,"$1,386",/movies/?id=executionwandajean.htm
Executive Decision,3/15/1996,"$12,069,780","2,232",WB,"2,289","$56,569,216",/movies/?id=executivedecision.htm
Exhibition,6/20/2014,n/a,n/a,KL,1,"$14,344",/movies/?id=exhibition.htm
Exiled,8/31/2007,"$15,502",2,Magn.,7,"$51,957",/movies/?id=exiled.htm
The Exiles (re-issue),7/11/2008,"$8,448",1,Mile.,1,"$30,945",/movies/?id=exiles08.htm
eXistenZ,4/23/1999,"$810,262",256,Mira.,256,"$2,856,712",/movies/?id=existenz.htm
